02:32	|R 2813	|V 35.9	|I 37.9	|W 1360	|TH 89%	|B 57%	|Wh 50	|T 36.7	|Pa 1290W	|Pi 35	
02:33	|R 2819	|V 35.9	|I 37.5	|W 1345	|TH 90%	|B 57%	|Wh 50	|T 36.7	|Pa 1291W	|Pi 35	
02:34	|R 2852	|V 35.7	|I 38.7	|W 1381	|TH 89%	|B 57%	|Wh 50	|T 36.8	|Pa 1291W	|Pi 35	
02:35	|R 2720	|V 38.3	|I 33.1	|W 1266	|TH 0%	|B 57%	|Wh 54	|T 37.0	|Pa 1291W	|Pi 35	
02:36	|R 407	|V 38.6	|I 0.0	|W 0	|TH 0%	|B 57%	|Wh 55	|T 36.9	|Pa 1291W	|Pi 35	
02:37	|R 2	|V 38.7	|I 0.0	|W 0	|TH 0%	|B 57%	|Wh 55	|T 36.7	|Pa 1291W	|Pi 35	
02:38	|R 1	|V 38.8	|I 0.0	|W 0	|TH 0%	|B 57%	|Wh 55	|T 36.7	|Pa 1291W	|Pi 35	
02:39	|R 0	|V 38.9	|I 0.0	|W 0	|TH 0%	|B 57%	|Wh 55	|T 36.5	|Pa 1291W	|Pi 35	
02:40	|R 171	|V 38.9	|I 0.0	|W 0	|TH 83%	|B 55%	|Wh 55	|T 36.6	|Pa 1291W	|Pi 35	
02:41	|R 2952	|V 38.6	|I 26.0	|W 1004	|TH 71%	|B 55%	|Wh 55	|T 36.6	|Pa 1289W	|Pi 35	
02:42	|R 2360	|V 36.8	|I 23.7	|W 871	|TH 82%	|B 55%	|Wh 53	|T 36.7	|Pa 1286W	|Pi 35	
02:43	|R 2475	|V 36.6	|I 37.7	|W 1380	|TH 82%	|B 55%	|Wh 53	|T 36.8	|Pa 1287W	|Pi 35	
02:44	|R 2549	|V 36.3	|I 39.7	|W 1441	|TH 82%	|B 55%	|Wh 53	|T 36.9	|Pa 1288W	|Pi 35	
02:45	|R 2555	|V 36.4	|I 40.3	|W 1465	|TH 80%	|B 55%	|Wh 53	|T 37.1	|Pa 1289W	|Pi 35	
02:46	|R 2549	|V 36.5	|I 37.2	|W 1355	|TH 80%	|B 55%	|Wh 54	|T 37.2	|Pa 1290W	|Pi 35	
02:47	|R 2601	|V 36.5	|I 35.7	|W 1303	|TH 82%	|B 55%	|Wh 54	|T 37.3	|Pa 1290W	|Pi 35	
02:48	|R 2615	|V 36.3	|I 36.6	|W 1327	|TH 82%	|B 55%	|Wh 54	|T 37.4	|Pa 1290W	|Pi 35	
02:49	|R 2648	|V 36.2	|I 37.9	|W 1373	|TH 82%	|B 55%	|Wh 54	|T 37.6	|Pa 1291W	|Pi 35	
02:50	|R 2673	|V 36.2	|I 37.1	|W 1343	|TH 83%	|B 55%	|Wh 55	|T 37.6	|Pa 1291W	|Pi 35	
02:51	|R 2658	|V 36.2	|I 36.2	|W 1311	|TH 83%	|B 47%	|Wh 55	|T 37.7	|Pa 1291W	|Pi 35	
02:52	|R 2721	|V 35.9	|I 32.1	|W 1152	|TH 85%	|B 47%	|Wh 55	|T 37.7	|Pa 1290W	|Pi 35	
02:53	|R 2663	|V 36.2	|I 37.8	|W 1366	|TH 83%	|B 47%	|Wh 56	|T 37.8	|Pa 1291W	|Pi 35	
02:54	|R 2733	|V 35.8	|I 37.9	|W 1355	|TH 85%	|B 47%	|Wh 56	|T 37.9	|Pa 1291W	|Pi 35	
02:55	|R 2694	|V 36.2	|I 37.2	|W 1347	|TH 83%	|B 47%	|Wh 57	|T 38.1	|Pa 1291W	|Pi 35	
02:56	|R 2719	|V 36.0	|I 37.7	|W 1357	|TH 85%	|B 47%	|Wh 57	|T 38.2	|Pa 1292W	|Pi 34	
02:57	|R 2760	|V 36.0	|I 37.7	|W 1358	|TH 85%	|B 47%	|Wh 57	|T 38.3	|Pa 1292W	|Pi 34	
02:58	|R 2738	|V 35.8	|I 36.5	|W 1304	|TH 86%	|B 47%	|Wh 57	|T 38.4	|Pa 1292W	|Pi 34	
02:59	|R 2745	|V 36.0	|I 36.4	|W 1309	|TH 85%	|B 47%	|Wh 58	|T 38.4	|Pa 1292W	|Pi 34	
03:00	|R 2730	|V 35.8	|I 30.7	|W 1097	|TH 88%	|B 47%	|Wh 58	|T 38.5	|Pa 1291W	|Pi 35	
03:01	|R 2806	|V 35.7	|I 37.9	|W 1354	|TH 89%	|B 47%	|Wh 58	|T 38.5	|Pa 1292W	|Pi 34	
03:02	|R 2856	|V 35.6	|I 36.1	|W 1285	|TH 90%	|B 40%	|Wh 58	|T 38.6	|Pa 1292W	|Pi 34	
03:03	|R 2901	|V 35.4	|I 39.8	|W 1409	|TH 90%	|B 40%	|Wh 58	|T 38.7	|Pa 1292W	|Pi 34	
03:04	|R 2836	|V 35.3	|I 41.4	|W 1461	|TH 91%	|B 40%	|Wh 59	|T 38.9	|Pa 1293W	|Pi 34	
03:05	|R 2245	|V 38.1	|I 34.4	|W 1311	|TH 0%	|B 40%	|Wh 63	|T 39.0	|Pa 1293W	|Pi 34	
03:06	|R 310	|V 38.3	|I 0.0	|W 0	|TH 0%	|B 40%	|Wh 64	|T 38.9	|Pa 1293W	|Pi 34	
03:07	|R 2254	|V 38.1	|I 0.6	|W 21	|TH 85%	|B 40%	|Wh 63	|T 38.7	|Pa 1293W	|Pi 34	
